City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,40,3.44,scattered clouds
128,Puerto Ayora,EC,-0.7393,-90.3518,78.01,89,51,5.99,broken clouds
129,Provideniya,RU,64.3833,-173.3,-10.1,83,98,13.87,overcast clouds
130,Hermanus,ZA,-34.4187,19.2345,64.99,86,0,9.35,clear sky
131,Camacupa,AO,-12.0167,17.4833,61.48,94,100,4.05,overcast clouds
132,Taloda,IN,21.5667,74.2167,64.36,27,0,6.8,clear sky
133,Saint George,US,37.1041,-113.5841,48.2,53,1,1.41,clear sky
134,Tilichiki,RU,60.4667,166.1,-10.53,91,91,15.73,overcast clouds
135,Bhuj,IN,23.2667,69.6667,54.27,69,0,5.3,clear sky
136,Gachala,CO,4.6924,-73.5204,57.2,58,20,6.91,few clouds
137,Carutapera,BR,-1.195,-46.02,78.49,83,100,7.14,overcast clouds
138,Tiksi,RU,71.6872,128.8694,-27.38,86,100,5.08,overcast clouds
139,Vostok,RU,46.4856,135.8833,-12.66,85,5,4.18,clear sky
140,Hornepayne,CA,49.2138,-84.7705,3.31,94,58,4.9,broken clouds
141,Kjollefjord,NO,70.9457,27.3465,26.6,80,0,8.05,light snow
142,Yenagoa,NG,4.9247,6.2642,78.08,87,0,3.15,clear sky
143,Tucuman,AR,-26.8241,-65.2226,71.6,94,90,4.61,light rain
144,Constitucion,CL,-35.3333,-72.4167,59.59,93,34,8.46,scattered clouds
145,Port Lincoln,AU,-34.7333,135.8667,66.67,63,7,14.32,clear sky
146,Susanville,US,40.4163,-120.653,35.6,64,1,2.21,clear sky
147,Guerrero Negro,MX,27.9769,-114.0611,60.48,66,89,16.84,overcast clouds
148,San Rafael,AR,-34.6177,-68.3301,66.85,59,100,8.99,overcast clouds
149,Saint-Augustin,CA,51.226,-58.6502,28.81,92,100,16.96,overcast clouds
150,Srednekolymsk,RU,67.45,153.6833,-32.04,84,100,3.31,overcast clouds
151,Xining,CN,36.6167,101.7667,12.65,74,0,2.95,clear sky
152,Itarema,BR,-2.9248,-39.9167,79.11,82,100,10.33,overcast clouds
153,Aldan,RU,58.6031,125.3894,-37.8,80,96,1.61,overcast clouds
154,Loiza,PR,18.4313,-65.8802,75.2,88,75,13.8,broken clouds
155,Franca,BR,-20.5386,-47.4008,68.49,73,19,2.13,few clouds
