City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Taloda,IN,64.36,clear sky,21.5667,74.2167,Hotel Maitri
137,Carutapera,BR,78.49,overcast clouds,-1.195,-46.02,Lidera
142,Yenagoa,NG,78.08,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
143,Tucuman,AR,71.6,light rain,-26.8241,-65.2226,Dallas Hotel Tucuman
145,Port Lincoln,AU,66.67,clear sky,-34.7333,135.8667,Port Lincoln Hotel
147,Guerrero Negro,MX,60.48,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
148,San Rafael,AR,66.85,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
152,Itarema,BR,79.11,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
154,Loiza,PR,75.2,broken clouds,18.4313,-65.8802,Malibu Beachfront
155,Franca,BR,68.49,few clouds,-20.5386,-47.4008,Imperador Palace Hotel
157,Maun,BW,69.03,overcast clouds,-19.9833,23.4167,Enviro Villa
161,Celestun,MX,74.52,overcast clouds,20.8667,-90.4,Posada Lilia
163,Natal,BR,78.8,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
168,Lazaro Cardenas,MX,77.59,clear sky,17.9583,-102.2,Collection O Hotel Quinta Antigua
172,East London,ZA,69.93,broken clouds,-33.0153,27.9116,Tu Casa
174,Pimenta Bueno,BR,75.18,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
176,Naze,JP,60.8,scattered clouds,28.3667,129.4833,奄美ポートタワーホテル
178,Gashua,NG,65.93,clear sky,12.870999999999999,11.0482,Forte Oil - Old Lorry Park
180,Malanje,AO,63.64,overcast clouds,-9.5402,16.340999999999998,Malanje Hotel
181,San Fernando,PH,73.4,broken clouds,15.0286,120.6898,Maharlika Hostel
183,Jardim,BR,77.14,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
185,Medea,DZ,62.6,broken clouds,36.2642,2.7539,Hôtel M'Sallah
186,Peruibe,BR,76.42,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
191,Praya,CV,73.4,clear sky,14.9215,-23.5087,LT Aparthotel
196,Ponorogo,ID,79.72,overcast clouds,-7.8685,111.462,OYO 1190 Ndalem Katong Residence
198,Tshikapa,CD,72.1,heavy intensity rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
206,Tarpon Springs,US,64.99,clear sky,28.1461,-82.7568,"Innisbrook, A Salamander Golf and Spa Resort"
209,Batticaloa,LK,77.81,broken clouds,7.7102,81.6924,Grand Star Guest House
215,Port Elizabeth,ZA,62.6,clear sky,-33.918,25.5701,39 On Nile Guest House
216,Namibe,AO,72.97,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
217,Bentiu,SS,70.39,clear sky,9.2333,29.8333,Mandela hôtel
218,Namakkal,IN,68.77,clear sky,11.2213,78.1652,OYO 60703 Hotel Sree Savana Bhavan Deluxe
220,Airai,TL,62.82,overcast clouds,-8.9266,125.4092,Juvinal Martin
221,Riohacha,CO,77.97,broken clouds,11.5444,-72.9072,Hotel Taroa
223,San Felipe,VE,71.19,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
224,Cururupu,BR,76.89,overcast clouds,-1.8283,-44.8683,Pousada Través'cia
227,Dourbali,TD,70.05,clear sky,11.8091,15.8632,
229,Esmeraldas,BR,78.8,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
233,Les Cayes,HT,73.15,broken clouds,18.2,-73.75,Villa Orphee
234,Lingao,CN,67.44,clear sky,19.9103,109.6859,Lingao Ditai Inn
239,Hobyo,SO,74.84,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
241,San Cristobal,VE,65.71,broken clouds,7.7669,-72.225,Pirineos
242,Quatre Cocos,MU,78.8,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
243,Topolobampo,MX,68.0,clear sky,25.6,-109.05,Hotel Marina Topolobampo
245,Sokolo,ML,68.65,overcast clouds,14.7328,-6.1219,
247,Georgetown,MY,78.8,few clouds,5.4112,100.3354,Cititel Penang
248,Watsa,CD,71.38,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
249,Sumter,US,62.01,broken clouds,28.7086,-82.0831,Paradise Oaks RV Resort
251,Camiri,BO,72.19,overcast clouds,-20.05,-63.5167,J R Hotel
259,Meulaboh,ID,75.97,broken clouds,4.1363,96.1285,Kost Pria
265,Buta,CD,66.54,clear sky,2.7858,24.73,HOTEL BISO NA BISO
266,Mata Grande,BR,71.01,overcast clouds,-9.1175,-37.7322,Hotel Casarão
267,Sidrolandia,BR,73.4,scattered clouds,-20.9319,-54.9614,Agropet São Francisco
269,Llorente,PH,79.2,overcast clouds,11.4119,125.5458,Hagonoy Heights Subdivision
273,Dwarka,IN,64.53,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
274,Catuday,PH,73.22,overcast clouds,16.2923,119.8062,GResort
278,Comodoro Rivadavia,AR,60.8,clear sky,-45.8667,-67.5,Austral Hotel
280,Te Anau,NZ,65.84,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
284,Pignon,HT,65.01,broken clouds,19.3333,-72.1167,Hotel Pignon sur Rue
287,Los Llanos De Aridane,ES,64.4,overcast clouds,28.6585,-17.9182,Valle Aridane
288,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
290,Bandarbeyla,SO,73.8,overcast clouds,9.4942,50.8122,JABIR HOTEL
291,Conceicao Do Araguaia,BR,74.34,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
293,Sao Filipe,CV,74.64,overcast clouds,14.8961,-24.4956,Tortuga B&B
296,Esperance,AU,68.0,clear sky,-33.8667,121.9,Hospitality Esperance
298,Tamandare,BR,77.85,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
301,Robertsport,LR,79.99,clear sky,6.7533,-11.3686,Kwepunha Retreat
302,Aripuana,BR,73.89,overcast clouds,-9.1667,-60.6333,
305,Port Alfred,ZA,63.0,clear sky,-33.5906,26.891,The Halyards Hotel
311,Salalah,OM,66.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
312,Villa Carlos Paz,AR,64.0,broken clouds,-31.4241,-64.4978,Monte Carlo
