City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Hilo,US,2021-01-30 18:17:19,19.7297,-155.09,68.0,88,90,4.61
182,Auki,SB,2021-01-30 18:18:04,-8.7676,160.7034,79.54,85,98,9.93
183,Krasnoselkup,RU,2021-01-30 18:18:04,65.7,82.4667,-32.4,79,47,7.9
184,Paciran,ID,2021-01-30 18:18:04,-6.8767,112.3761,77.5,86,100,8.03
185,Carahue,CL,2021-01-30 18:18:05,-38.7,-73.1667,73.4,60,75,4.61
186,Otane,NZ,2021-01-30 18:18:05,-39.8833,176.6333,46.99,90,6,3.53
187,Butaritari,KI,2021-01-30 18:15:16,3.0707,172.7902,80.83,77,95,16.31
188,Namibe,AO,2021-01-30 18:18:05,-15.1961,12.1522,74.61,75,84,11.07
189,San Policarpo,PH,2021-01-30 18:18:05,12.1791,125.5072,78.93,78,83,19.17
190,Kahului,US,2021-01-30 18:13:15,20.8947,-156.47,71.6,78,40,13.8
191,Pemba,MZ,2021-01-30 18:18:05,-12.974,40.5178,80.6,83,75,8.05
192,Kokuy,RU,2021-01-30 18:18:06,52.2037,117.5529,-18.36,85,100,0.63
193,Trincomalee,LK,2021-01-30 18:18:06,8.5711,81.2335,79.18,84,60,13.51
194,Aswan,EG,2021-01-30 18:18:06,24.0934,32.907,60.76,32,0,9.66
195,Lasa,IT,2021-01-30 18:18:06,46.6166,10.7002,39.99,93,90,4.61
196,Hami,CN,2021-01-30 18:18:06,42.8,93.45,22.05,83,0,2.04
197,Alice Springs,AU,2021-01-30 18:18:06,-23.7,133.8833,84.2,32,59,14.97
198,Sistranda,NO,2021-01-30 18:18:07,63.7256,8.834,28.4,93,20,6.91
199,Cumberland,US,2021-01-30 18:18:07,35.0502,-78.8664,43.0,33,1,3.44
200,Divnogorsk,RU,2021-01-30 18:18:07,55.9594,92.3619,-29.2,75,0,1.57
201,Ortakoy,TR,2021-01-30 18:18:07,38.7373,34.0387,39.2,93,75,16.11
202,Porto Novo,BJ,2021-01-30 18:18:07,6.4965,2.6036,84.2,84,20,10.36
203,Matara,LK,2021-01-30 18:18:08,5.9485,80.5353,77.38,85,100,0.25
204,Lompoc,US,2021-01-30 18:14:19,34.6391,-120.4579,50.0,81,1,3.06
205,Nome,US,2021-01-30 18:14:56,64.5011,-165.4064,-14.8,76,1,3.44
206,Aksu,CN,2021-01-30 18:18:08,41.1231,80.2644,20.48,79,0,0.22
207,Kodiak,US,2021-01-30 18:18:08,57.79,-152.4072,32.0,55,1,25.32
208,Narsaq,GL,2021-01-30 18:15:22,60.9167,-46.05,41.0,30,75,35.68
209,Tessalit,ML,2021-01-30 18:18:08,20.1986,1.0114,70.0,18,51,6.8
210,Marsh Harbour,BS,2021-01-30 18:14:42,26.5412,-77.0636,65.57,61,61,11.9
211,Ribeira Grande,PT,2021-01-30 18:18:09,38.5167,-28.7,64.4,88,40,16.11
212,Puerto Ayora,EC,2021-01-30 18:18:09,-0.7393,-90.3518,86.0,62,0,14.97
213,Shamary,RU,2021-01-30 18:18:09,57.3434,58.2199,22.78,98,98,3.33
214,Gorin,RU,2021-01-30 18:18:09,51.1983,136.6669,-6.12,91,100,2.71
215,Ponta Do Sol,PT,2021-01-30 18:18:09,32.6667,-17.1,63.0,75,40,1.99
216,Okhotsk,RU,2021-01-30 18:18:10,59.3833,143.3,-12.44,79,0,15.57
217,Sobolevo,RU,2021-01-30 18:18:10,54.4299,31.8996,20.8,97,100,9.95
218,Serdobsk,RU,2021-01-30 18:18:10,52.4586,44.2169,21.4,97,84,7.99
219,Raga,SS,2021-01-30 18:18:10,8.4596,25.678,77.07,18,31,5.97
220,Vung Tau,VN,2021-01-30 18:18:10,10.346,107.0843,75.81,78,100,15.66
221,Ucluelet,CA,2021-01-30 18:15:11,48.9329,-125.5528,44.01,93,90,6.91
222,Kalmunai,LK,2021-01-30 18:18:10,7.4167,81.8167,77.45,84,81,6.35
223,Talnakh,RU,2021-01-30 18:18:11,69.4865,88.3972,-31.05,71,0,5.86
224,Pacific Grove,US,2021-01-30 18:18:11,36.6177,-121.9166,54.0,58,90,3.85
225,Asfi,MA,2021-01-30 18:18:11,32.2994,-9.2372,61.41,81,41,9.26
226,Zemio,CF,2021-01-30 18:18:11,5.0314,25.1361,79.74,24,4,4.5
227,Kutum,SD,2021-01-30 18:18:11,14.2,24.6667,63.0,26,0,11.7
228,Noyabrsk,RU,2021-01-30 18:18:12,63.1994,75.4507,-22.74,84,100,16.2
229,Panjab,AF,2021-01-30 18:18:12,34.388,67.0233,18.95,87,52,1.39
230,Vredendal,ZA,2021-01-30 18:18:12,-31.6683,18.5012,66.11,75,0,15.37
231,Avdon,RU,2021-01-30 18:18:12,54.6667,55.7167,24.8,86,90,11.18
232,Skibbereen,IE,2021-01-30 18:18:12,51.55,-9.2667,41.0,87,75,13.8
233,Nanortalik,GL,2021-01-30 18:18:12,60.1432,-45.2371,35.28,80,100,14.32
234,Geraldton,AU,2021-01-30 18:18:13,-28.7667,114.6,86.0,23,0,18.41
235,Hurricane,US,2021-01-30 18:18:13,37.1753,-113.2899,43.0,87,75,4.61
236,North Bend,US,2021-01-30 18:18:13,43.4065,-124.2243,48.99,97,100,1.99
237,Richards Bay,ZA,2021-01-30 18:18:13,-28.783,32.0377,77.16,81,88,6.96
238,Hokitika,NZ,2021-01-30 18:18:13,-42.7167,170.9667,51.57,85,0,4.12
239,Khasan,RU,2021-01-30 18:18:14,42.4308,130.6434,6.89,85,0,11.83
240,Amapa,BR,2021-01-30 18:13:15,1.0,-52.0,79.9,91,90,4.41
241,Ardesen,TR,2021-01-30 18:18:14,41.1911,40.9875,44.6,87,0,4.61
242,Zhengjiatun,CN,2021-01-30 18:18:14,43.5064,123.5064,-4.25,89,52,4.74
243,Provideniya,RU,2021-01-30 18:18:14,64.3833,-173.3,-12.33,83,64,7.18
244,Kamuli,UG,2021-01-30 18:18:15,0.9472,33.1197,73.27,61,92,5.23
245,Kibala,TD,2021-01-30 18:18:15,9.1104,18.3463,87.8,22,0,3.6
246,Kodinsk,RU,2021-01-30 18:18:15,58.6881,99.1844,-39.6,78,32,3.15
247,Cockburn Town,TC,2021-01-30 18:18:15,21.4612,-71.1419,75.2,46,20,11.5
248,Khatanga,RU,2021-01-30 18:18:15,71.9667,102.5,-45.65,77,5,1.43
249,Pangnirtung,CA,2021-01-30 18:18:15,66.1451,-65.7125,-9.4,77,1,3.33
250,Robore,BO,2021-01-30 18:18:16,-18.3333,-59.75,89.78,52,16,14.65
251,Aklavik,CA,2021-01-30 18:18:16,68.2191,-135.0107,-22.0,76,75,3.44
252,Port Augusta,AU,2021-01-30 18:18:16,-32.5,137.7667,64.4,77,90,12.66
253,Muros,ES,2021-01-30 18:18:16,42.7762,-9.0603,54.0,82,100,5.99
254,New Norfolk,AU,2021-01-30 18:18:16,-42.7826,147.0587,53.01,68,33,2.57
255,Mamallapuram,IN,2021-01-30 18:18:16,12.6264,80.1722,77.0,78,20,3.44
256,Gweta,BW,2021-01-30 18:18:17,-20.1833,25.2333,80.74,57,40,6.6
257,Saskylakh,RU,2021-01-30 18:18:17,71.9167,114.0833,-37.35,79,46,8.46
258,Pangoa,PE,2021-01-30 18:18:17,-12.1167,-73.0,76.15,81,97,1.66
259,Wysokie Mazowieckie,PL,2021-01-30 18:18:17,52.9166,22.5171,30.99,91,100,7.99
260,Havelock,US,2021-01-30 18:16:07,34.8791,-76.9013,43.0,33,1,9.22
261,Demirci,TR,2021-01-30 18:18:18,39.0461,28.6589,36.18,95,100,1.1
262,Pasca,CO,2021-01-30 18:18:18,4.3072,-74.3006,68.0,32,20,16.11
263,Starkville,US,2021-01-30 18:15:51,33.4504,-88.8184,54.0,54,90,12.66
264,Grindavik,IS,2021-01-30 18:18:18,63.8424,-22.4338,26.6,74,40,17.27
265,Ngunguru,NZ,2021-01-30 18:18:18,-35.6167,174.5,55.99,89,0,1.99
266,Cayenne,GF,2021-01-30 18:18:18,4.9333,-52.3333,82.4,89,75,10.36
267,Kromy,RU,2021-01-30 18:18:18,52.6876,35.7667,24.39,97,100,8.19
268,Ballina,AU,2021-01-30 18:18:19,-28.8667,153.5667,71.6,94,90,1.57
269,Les Cayes,HT,2021-01-30 18:18:19,18.2,-73.75,81.34,59,5,8.12
270,Grand Gaube,MU,2021-01-30 18:18:19,-20.0064,57.6608,79.0,84,0,1.99
271,Cabedelo,BR,2021-01-30 18:18:19,-6.9811,-34.8339,87.8,58,20,12.66
272,Coihaique,CL,2021-01-30 18:18:20,-45.5752,-72.0662,69.8,35,20,8.05
273,Ende,ID,2021-01-30 18:18:20,-8.8432,121.6623,77.23,86,100,11.74
274,Mariental,NA,2021-01-30 18:18:20,-24.6333,17.9667,86.68,12,41,9.19
275,Faya,SA,2021-01-30 18:18:20,18.3851,42.4509,59.0,62,0,4.61
276,Mantenopolis,BR,2021-01-30 18:18:20,-18.8625,-41.1228,85.26,46,10,6.58
277,Lorengau,PG,2021-01-30 18:18:20,-2.0226,147.2712,82.08,80,100,11.74
278,Ilulissat,GL,2021-01-30 18:18:21,69.2167,-51.1,6.8,51,40,9.22
279,Cassilandia,BR,2021-01-30 18:18:21,-19.1133,-51.7342,87.71,54,23,5.12
280,Porbandar,IN,2021-01-30 18:18:21,21.6422,69.6093,65.7,50,0,13.0
281,Turiacu,BR,2021-01-30 18:18:21,-1.6633,-45.3717,86.72,63,29,8.52
282,Noumea,NC,2021-01-30 18:18:21,-22.2763,166.4572,68.0,83,0,2.3
283,Carpinteria,US,2021-01-30 18:18:21,34.3989,-119.5185,54.0,71,0,1.01
284,Poso,ID,2021-01-30 18:18:22,-1.3959,120.7524,79.0,78,100,3.89
285,Yar-Sale,RU,2021-01-30 18:18:22,66.8333,70.8333,-23.89,86,100,15.84
286,Stettler,CA,2021-01-30 18:18:22,52.3168,-112.7186,1.4,100,0,2.3
287,Inirida,CO,2021-01-30 18:18:22,3.8653,-67.9239,93.02,42,93,3.47
288,Kloulklubed,PW,2021-01-30 18:18:22,7.0419,134.2556,78.8,83,75,4.61
289,Langsa,ID,2021-01-30 18:15:38,4.4683,97.9683,73.54,93,50,2.37
290,Kupang,ID,2021-01-30 18:18:23,-10.1667,123.5833,77.81,90,100,21.16
291,Road Town,VG,2021-01-30 18:18:23,18.4167,-64.6167,78.8,100,40,6.91
292,Bubaque,GW,2021-01-30 18:18:23,11.2833,-15.8333,80.02,62,0,13.91
293,Copiapo,CL,2021-01-30 18:18:23,-27.3667,-70.3333,73.4,56,40,14.97
294,Riyadh,SA,2021-01-30 18:14:48,24.6877,46.7219,60.8,31,0,8.05
